LastName	FirstName	DatasetID	Dataset	SpeciesName	AccSpeciesID	AccSpeciesName	ObservationID	ObsDataID	TraitID	TraitName	DataID	DataName	OriglName	OrigValueStr	OrigUnitStr	ValueKindName	OrigUncertaintyStr	UncertaintyName	Replicates	StdValue	UnitName	RelUncertaintyPercent	OrigObsDataID	ErrorRisk	Reference	Comment	StdValueStr	
Swaine	Emily	51	Tropical Plant Traits From Borneo Database	Canarium denticulatum	10045	Canarium denticulatum	94885	1032047			60	Longitude	Lon	117.9	degree					117.9					Swaine, E. K. 2007. Ecological and evolutionary drivers of plant community assembly in a Bornean rain forest. PhD Thesis, University of Aberdeen, Aberdeen.			
Swaine	Emily	51	Tropical Plant Traits From Borneo Database	Canarium denticulatum	10045	Canarium denticulatum	94885	1032048			61	Altitude	Alt	20	m					20	m				Swaine, E. K. 2007. Ecological and evolutionary drivers of plant community assembly in a Bornean rain forest. PhD Thesis, University of Aberdeen, Aberdeen.			
Swaine	Emily	51	Tropical Plant Traits From Borneo Database	Canarium denticulatum	10045	Canarium denticulatum	94885	1032049			394	Measurement time	Measurement time	Jan2005 to Aug2006											Swaine, E. K. 2007. Ecological and evolutionary drivers of plant community assembly in a Bornean rain forest. PhD Thesis, University of Aberdeen, Aberdeen.			
Swaine	Emily	51	Tropical Plant Traits From Borneo Database	Canarium denticulatum	10045	Canarium denticulatum	94885	1032050			358	Number of replicate plants	Plant replicates	7											Swaine, E. K. 2007. Ecological and evolutionary drivers of plant community assembly in a Bornean rain forest. PhD Thesis, University of Aberdeen, Aberdeen.			
Swaine	Emily	51	Tropical Plant Traits From Borneo Database	Canarium pilosum	10065	Canarium pilosum	94886	1032056	926	Leaf area index (LAI) of a single plant	384	LAI of respective plant	LAI	0.713430161187734	unitless										Swaine, E. K. 2007. Ecological and evolutionary drivers of plant community assembly in a Bornean rain forest. PhD Thesis, University of Aberdeen, Aberdeen.	Leaf area index:  leaf area/canopy area (m2 per m2)		
Swaine	Emily	51	Tropical Plant Traits From Borneo Database	Canarium pilosum	10065	Canarium pilosum	94886	1032058			386	Canopy openness (fraction of open sky)	C O	6.83	%										Swaine, E. K. 2007. Ecological and evolutionary drivers of plant community assembly in a Bornean rain forest. PhD Thesis, University of Aberdeen, Aberdeen.	Canopy openness measured using hemisphere photos		
Swaine	Emily	51	Tropical Plant Traits From Borneo Database	Canarium pilosum	10065	Canarium pilosum	94886	1032077			393	Herbivory damage	Herbivory	3.5	%										Swaine, E. K. 2007. Ecological and evolutionary drivers of plant community assembly in a Bornean rain forest. PhD Thesis, University of Aberdeen, Aberdeen.	Herbivory damage Proportion of leaf eaten		
Swaine	Emily	51	Tropical Plant Traits From Borneo Database	Canarium pilosum	10065	Canarium pilosum	94886	1032080			324	Treatment CO2	growth ambient CO2 concentration	360	ppm		20	Standard Deviation							Swaine, E. K. 2007. Ecological and evolutionary drivers of plant community assembly in a Bornean rain forest. PhD Thesis, University of Aberdeen, Aberdeen.			
Swaine	Emily	51	Tropical Plant Traits From Borneo Database	Canarium pilosum	10065	Canarium pilosum	94886	1032081			325	Treatment relative humidity (Relative humidity )	growth RH	70	%		5	Standard Deviation							Swaine, E. K. 2007. Ecological and evolutionary drivers of plant community assembly in a Bornean rain forest. PhD Thesis, University of Aberdeen, Aberdeen.			
Swaine	Emily	51	Tropical Plant Traits From Borneo Database	Canarium pilosum	10065	Canarium pilosum	94886	1032082			315	Treatment plant growth temperature during day	growth temperature	31	C		4	Standard Deviation							Swaine, E. K. 2007. Ecological and evolutionary drivers of plant community assembly in a Bornean rain forest. PhD Thesis, University of Aberdeen, Aberdeen.			
