Species,LAI Value
Eucalyptus sp.,0.86
Eucalyptus sp.,1.8
Eucalyptus sp.,1.2
Not described,0.64
Not described,0.86
Not described,0.69
Not described,1.01
Not described,0.32
Not described,1.27
Not described,1.67
Not described,0.13
Not described,0.25
Not described,0.32
Not described,0.38
Eucalyptus sp.,0.36
Eucalyptus sp.,0.48
Eucalyptus sp.,0.59
Eucalyptus sp.,0.57
Eucalyptus sp.,0.61
Eucalyptus sp.,0.65
Eucalyptus sp.,0.54
Eucalyptus sp.,0.42
Eucalyptus sp.,0.77
Eucalyptus sp.,0.81
Eucalyptus sp.,0.83
Eucalyptus sp.,0.93
Quercus petraea,6.4
Quercus petraea,6.2
Quercus petraea,5.4
Quercus petraea,6.5
Quercus petraea,5.8
Fagus sylvatica,6.6
Fagus sylvatica,5.7
Fagus sylvatica,6.5
Fagus sylvatica,5.3
Fagus sylvatica,5
Fagus sylvatica,5.3
Picea abies,7.1
Fagus sylvatica,7.3
Fagus sylvatica,7.9
Picea abies,7.7
"Picea abies, Fagus sylvatica",5.7
Picea abies,3.73
Picea abies,3.8
Picea abies,3.83
"Picea abies, Abies",4.6
"Picea abies, Abies",4.56
"Picea abies, Abies",4.41
"Picea abies, Abies",4.27
"Picea abies, Abies",4.71
"Picea abies, Abies",4.13
Picea abies,4.18
Picea abies,4.3
Picea abies,3.54
Picea abies,3.64
Fagus sylvatica,5.78
"Fagus sylvatica, Fraxinus",5
"Fagus sylvatica, Fraxinus",5.42
Fagus sylvatica,5.69
Fagus sylvatica,5.42
"Carpinus orientalis, Quercus pubescentis",5.7
Fraxinus oruns,6.05
Picea abies,12.8
Pinus sylvestris,3.8
Pinus sylvestris,4.6
Pinus sylvestris,1.5
Pinus sylvestris,3.4
Pinus sylvestris,4.9
Picea abies,9.3
Pinus sylvestris,6.3
Pinus sylvestris,7.2
Pinus sylvestris,3.6
Pinus sylvestris,4.4
Pinus sylvestris,3.2
Pinus sylvestris,3.7
Pinus sylvestris,4.4
Pinus sylvestris,1.1
Pinus sylvestris,4
Picea abies,8.64
Quercus pubescens,3
Cistus albidus,2.2
Cistus monospeliensis,1.36
Quercus coccifera,4.15
Arbutus unedo,3.05
Tropical rainforest (1053 species),5.85
Tropical rainforest (1053 species),6.4
Quercus robur,4.4
Salix spp.,0.99
Betula nana,0.97
Empetrum hermaphroditum,0.72
Salix spp.,0.81
Betula nana,1.02
Vaccinium uliginosum,0.38
Empetrum hermaphroditum,0.5
Andromeda polifolia,0.23
Loiseleuria procumbens,0.02
Nothofagus solandri,5.43
Nothofagus solandri,7.11
Nothofagus solandri,5.72
Alnus incana,5.43
Betula pendula,3.08
Betula pendula,2.56
Betula pendula,1.57
Betula pendula,1.65
Betula pendula,2.91
Betula pendula,3
Betula pendula,2.94
Betula pendula,1.54
Betula pubescens,2.74
Betula pubescens,3.57
Betula pubescens,2.85
Betula pubescens,1.48
Betula pubescens,2.03
Betula pubescens,3.78
Betula pubescens,0.99
Betula pubescens,2.09
Fagus sylvatica,6.4
Fagus sylvatica,6.9
"Tilia cordata, Tilia platyphyllos, Fagus sylvatica",7.1
Fraxinus excelsior,4.55
Betula pendula,3.63
Betula pendula,4.64
Betula pendula,1.21
Betula pendula,1.96
Betula pendula,3.01
Tsuga mertensiana,5.6
Tsuga mertensiana,5.2
Pseudotsuga menziesii,12
Quercus robur,4.2
Nothofagus solandri,3
Nothofagus solandri,3.7
Nothofagus solandri,5.7
Nothofagus solandri,7.4
"Sapotaceae, Fabaceae, Violaceae, Chrysobalanacae spp. (over 100 species)",5.39
"Sapotaceae, Fabaceae, Violaceae, Chrysobalanacae spp. (over 100 species)",5.51
"Fagus crenata, Carpinus laxiflora, Acer sieboldianum etc.",6.51
"Fagus crenata, Carpinus laxiflora, Acer sieboldianum etc.",4.82
"Fagus crenata, Carpinus laxiflora, Acer sieboldianum etc.",6
"Fagus crenata, Carpinus laxiflora, Acer sieboldianum etc.",5.56
Fagus crenata,5.95
Pinus densiflora,4.08
Pinus densiflora,5.15
Pinus densiflora,4.73
"Acer rubrum, Acer saccharum, Betula papyrifera, Populus grandidentata, Quercus rubra",3.86
Pinus resinosa,2.7
Populus canadensis Moench (clone I-214),2.02
"Acer saccharum, Tsuga canadensis",4.06
"Quercus myrtifolia, Quercus geminata, Quercus chapmanii",2.6
Pinus taeda,5.1
"Quercus rubra, Quercus alba, Quercus velutina",5
Picea purpurea,1.5
Abies faxoniana,1.9
Betula platyphylla,1.1
"Larix occidentalis, Pinus ponderosa",5.4
"Pinus ponderosa, Pseudotsuga menziesii",5.25
Tropical moist forest,5.41
Pinus taeda,3.73
Populus tremuloides,3.11
Populus tremuloides,5.16
Populus tremuloides,3.06
Populus tremuloides,4.84
Populus tremuloides,4.18
"Liriodendron tulipifera, Quercus prinus, Quercus rubra, Quercus alba, Quercus velutina etc. ",10.6
"Liriodendron tulipifera, Quercus prinus, Quercus rubra, Quercus alba, Quercus velutina etc. ",10.7
"Liriodendron tulipifera, Quercus prinus, Quercus rubra, Quercus alba, Quercus velutina etc. ",9.7
"Liriodendron tulipifera, Quercus prinus, Quercus rubra, Quercus alba, Quercus velutina etc. ",8.5
"Liriodendron tulipifera, Quercus prinus, Quercus rubra, Quercus alba, Quercus velutina etc. ",6.9
"Liriodendron tulipifera, Quercus prinus, Quercus rubra, Quercus alba, Quercus velutina etc. ",6.9
"Liriodendron tulipifera, Quercus prinus, Quercus rubra, Quercus alba, Quercus velutina etc. ",5.8
"Liriodendron tulipifera, Quercus prinus, Quercus rubra, Quercus alba, Quercus velutina etc. ",5.4
Graffenrieda emarginata,8.08
Graffenrieda emarginata,6.98
Graffenrieda emarginata,6.59
Graffenrieda emarginata,7.38
Graffenrieda emarginata,6.92
Nothofagus glauca,2.06
Nothofagus glauca,2.12
Nothofagus glauca,2.63
"Acer rubrum, Cornus florida, Ilex opaca, Liquidambar styraciflua, Liriodendron tulipifera etc.",7.1
"Acer rubrum, Cornus florida, Ilex opaca, Liquidambar styraciflua, Liriodendron tulipifera etc.",5.6
"Quercus serrata, Clethra barbinervis",4.3
Populus deltoides,6.8
Populus deltoides,5.7
"Tamarix chinensis, Distichlis spicata",2.45
Tamarix chinensis,4.85
Populus tremuloides,2.79
Populus tremuloides,2.58
Populus tremuloides,3.2
Populus tremuloides,2.29
Populus tremuloides,2.62
Populus tremuloides,2.03
Populus tremuloides,3.27
Populus tremuloides,2.02
Populus tremuloides,2.77
Populus tremuloides,2.56
Populus tremuloides,3.12
Populus tremuloides,2.97
Populus tremuloides,2.11
Populus tremuloides,2.12
Populus tremuloides,2.45
Populus tremuloides,3.48
Populus tremuloides,2.78
Populus tremuloides,2.99
Populus tremuloides,2.56
Populus tremuloides,1.97
Populus tremuloides,1.84
Populus tremuloides,1.75
Populus tremuloides,2.03
Populus tremuloides,2.01
Populus tremuloides,3.13
Populus tremuloides,1.85
Populus tremuloides,3.91
Populus tremuloides,3.09
Populus tremuloides,1.06
Populus tremuloides,2.15
Inga oerstediana etc.,2.4
Hedyosmum racemosum etc.,2.1
Myrcia fallax etc.,2.3
Quercus robur,6.33
Fagus sylvatica,4.17
"Alnus glutinosa, Fraxinus exelsior",5.03
"Vaccinium uliginosum, evergreen shrub",0.52
"Betula glandulosa, Vaccinium uliginosum",1.7
"Betula glandulosa, Salix spp.",1.89
"Betula glandulosa, Salix spp., Picea glauca",2.27
Picea glauca,2.76
"Chamaedaphne calyculata, Ledum groenlandicum, Kalmia angustifolia, Kalmia polifolia, Andromeda glaucophylla",0.82
Chamaedaphne calyculata,1.92
Vaccinium myrtilloides,2.18
"Chamaedaphne calyculata, Ledum groenlandicum, Kalmia angustifolia, Kalmia polifolia, Andromeda glaucophylla",1.21
Pinus contorta,2.29
Pinus contorta,1.83
Pinus contorta,1.8
Pinus contorta,1.89
Pinus taeda,2.48
Pinus elliottii,2.47
Pinus taeda,4.23
Pinus contorta,3.2
Pinus contorta,3.1
Pinus contorta,2.9
Pinus contorta,3.05
Pinus contorta,3.85
Pinus contorta,2.4
Pinus contorta ,1.8
Pinus contorta ,1.3
Pinus contorta ,0.1
Pinus contorta ,2.7
Betula pendula,5.34
Quercus petraea,5.45
Carpinus betulus,8.73
Fagus sylvatica,8.84
Rhizophora mangle,3.25
Rhizophora mangle,4.45
Rhizophora mangle,3.71
Rhizophora mangle,4.15
Rhizophora mangle,4.52
Rhizophora mangle,5.14
Rhizophora mangle,5.39
Rhizophora mangle,5.47
Rhizophora mangle,5.58
Rhizophora mangle,5.86
Laguncularia racemosa,5.29
"Laguncularia racemosa, Avicennia germinans",4.09
Avicennia germinans,2.75
Avicennia germinans,1.61
Rhizophora mangle,2.91
Rhizophora mangle,4.2
"Rhizophora mangle, Laguncularia racemosa",3.29
"Rhizophora mangle, Laguncularia racemosa",3.81
Rhizophora mangle,3.33
Rhizophora mangle,3.79
Laguncularia racemosa,4.55
Laguncularia racemosa,4.52
Laguncularia racemosa,4.4
Betula pubescens,3.9
Betula pubescens,2.5
Betula pubescens,3.8
Cupressus lusitanica,3.86
Pinus patula,2.13
Eucalyptus grandis,2.07
Rhus typhina,1.5
Quercus petraea,3.8
"Quercus petraea, Fagus sylvatica",4.8
"Quercus petraea, Fagus sylvatica",6.1
Fagus sylvatica,5.9
Eucalyptus,3.13
Riparian forests,4.51
Avicennia marina,1.1
Avicennia marina,3
"Avicennia marina, Rhizophora stylosa",2.6
"Avicennia marina, Rhizophora stylosa",2.4
"Avicennia marina, Rhizophora stylosa",3.4
"Avicennia marina, Rhizophora stylosa",1.7
Pinus sylvestris,3.38
"Pinus montana, Pinus cembra",2.18
"Pinus montana, Pinus cembra",1.78
"Pinus montana, Pinus cembra",3.89
"Pinus montana, Pinus cembra",3.99
"Dryas integrifolia, Salix arctica",0.23
"Castanea sativa, Corylus avellana, Acer pseudoplatanus",3.86
Fagus sylvatica,4.78
Larix decidua,1.74
"Liriodendron tulipifera, Fagus grandifolia, Carya tomentosa",7
Chamaecyparis obtusa,5.77
"Diospyros sandwicensis, Psydrax odorata",2.86
"Diospyros sandwicensis, Psydrax odorata",1.35
Quercus mongolica,5.5
Quercus cerris,4.16
Quercus pubescens,2.73
Castanea sativa,6.5
Castanea sativa,5.3
Acer saccharum,7.4
Acer saccharum,8.1
Acer saccharum,6.87
Acer saccharum,6.12
Acer saccharum,6.77
Acer saccharum,6.97
Acer saccharum,7.63
"Rhizophora mangle, Laguncularia racemosa",2.73
"Rhizophora mangle, Laguncularia racemosa",1.33
Pinus contorta,3.59
Abies lasiocarpa,8.07
Pinus contorta,13.4
Pinus contorta,11.5
Pinus contorta,7.5
Pinus contorta,7.9
Pinus contorta,8.9
Pinus contorta,3.2
Pinus contorta,2.3
Pinus contorta,4.5
Pinus banksiana,7.4
Pinus banksiana,6.1
Pinus banksiana,9.1
Pinus banksiana,7.9
Pinus banksiana,11
Pinus banksiana,5.8
Pinus banksiana,7.2
Pinus taeda,5.34
Pinus ponderosa,3.63
Pinus ponderosa,7.4
Pinus taeda,2.7
Acer rubrum,5.14
"Quercus rubra, Quercus prinus",1.88
"Quercus prinus, Quercus spp.",2.72
"Quercus prinus, Quercus florida",3.28
"Populus tremuloides, Betula papyrifera",3
"Quercus rubra, Quercus alba, Quercus prinus, Quercus velutina",3.4
Pinus ponderosa,7.2
Pinus ponderosa,6.8
Pinus ponderosa,6.9
Pinus ponderosa,6.1
"Quercus ellipsoidalis, Quercus macrocarpa",4.73
"Quercus ellipsoidalis, Quercus macrocarpa",2.95
"Quercus ellipsoidalis, Quercus macrocarpa",3.47
"Quercus ellipsoidalis, Quercus macrocarpa",2.76
"Quercus ellipsoidalis, Quercus macrocarpa",2.36
"Pinus contorta, Pinus monticola, Abies magnifica, Tsuga mertensiana",1.59
"Dialium species, Aucoumea klaineana",7
Quercus petraea,4.24
"Quercus petraea, Fagus sylvatica",4.49
Betula pubescens,0.76
"Amaioua guianensis, Ocotea acutangula, Aspidosperma excelsum etc.",5
"Acer saccharum, Betula alleghaniensis",2.81
"Acer saccharum, Betula alleghaniensis",3.16
Eucalyptus saligna,3.18
Eucalyptus saligna,2.78
Eucalyptus saligna,2.99
Eucalyptus saligna,1.99
Eucalyptus saligna,1.84
Eucalyptus saligna,1.8
Eucalyptus saligna,1.46
Toona ciliata,2.9
Toona ciliata,2.1
Toona ciliata,2.4
Toona ciliata,2.7
Toona ciliata,2.5
Toona ciliata,2.4
"Acacia Koa, Toona ciliata",2.4
"Acacia Koa, Toona ciliata",2.6
"Pinus sylvestris, Picea abies",3.94
"Pinus sylvestris, Picea abies, Quercus robur",2.89
Quercus robur,2.32
Betula nana,2.64
Cassiope tetragona,0.36
Ericaceous vegetation,0.11
Populus tremula,2.45
Populus tremuloides,3
Populus tremuloides,4.05
Pinus resinosa,2.96
Pinus strobus,3.3
Pinus sylvestris,2.62
Picea abies,5.24
Pinus sylvestris,2.32
Acer saccharum,3.25
"Eucalyptus delegatensis, Eucalyptus dalrymplean",2.4
"Eucalyptus creba, Eucalyptus drepanophylla",1.3
"Pterocarpus marsupium, Cleasistanthus collinus, Grewia tilifolia, Tectona grandis, Lagerostromia parviflora, Diosporus melanoxylon, Terminalia alata, Dendrocalamus strictus, Bamboosa arundinacea",2.31
Picea mariana ,3.3
Picea mariana ,3.97
Picea mariana ,2.36
Picea mariana ,3.21
Picea mariana ,3.09
Picea mariana ,3.78
Picea mariana ,3.83
Picea mariana ,5.37
Quercus liaotungensis,2.9
Larix principis-rupprechtii,2.54
Pinus tabulaeformis,2.28
Tsuga canadensis,3.09
"Tsuga canadensis, Picea rubens",2.78
Picea rubens,1.73
Picea rubens,1.82
Picea rubens,1.8
Picea rubens,1.9
"Picea rubens, Betula papyrifera",2.58
"Pinus strobus, hardwood mixtures",3.46
"Pinus strobus, hardwood mixtures",3.61
Fagus grandifolia,3.04
Fagus grandifolia,3.49
"Fagus grandifolia, Quercus rubra",3.33
"Betula papyrifera, Fagus grandifolia",3.39
"Quercus rubra, Fagus grandifolia",3.35
"Acer saccharum, Fagus grandifolia",3.58
"Acer saccharum, Fagus grandifolia",3.52
"Acer saccharum, Fagus grandifolia",3.34
"Acer saccharum, Fraxinus americana",3.47
Nothofagus pumilio,2.5
Fagus sylvatica,3.56
Quercus robur,2.64
Pinus sylvestris,1.99
Deciduous and evergreen species belonging to the Guineo-Conglian phytochorion,9.24
Deciduous and evergreen species belonging to the Guineo-Conglian phytochorion,8.97
Eucalyptus marginata,1.8
Eucalyptus marginata,1.51
Eucalyptus marginata,1.27
Eucalyptus marginata,2.45
Eucalyptus marginata,2.14
Eucalyptus marginata,1.6
Dipterocarp species,7.27
"Cecropia sp., Clusia sp., Miconia sp., Psychotria sp. etc.",3.6
"Thouinidium decandrum, Guapira macrocarpa, Astronium graveolens, Trichilia trifolia, Casearia corymbosa",5.4
"Guapira macrocarpa, Lonchocarpus eriocarnalis, Plumeria rubra, Piptadenia constricta, Bursera instabilis",3.8
"Guapira macrocarpa, Plumeria rubra, Lonchocarpus constrictus, Bursera instabilis, Colubrina heteroneura",3.3
Pinus banksiana,1.4
Pinus banksiana,1.6
Pinus banksiana,1.4
Pinus banksiana,1.5
"Pinus resinosa, Populus tremuloides",3.9
Pinus banksiana,1.9
Pinus resinosa,3.4
Pinus banksiana,2.3
"Quercus rubra, Pinus resinosa, Acer rubrum",5
"Populus tremuloides, Acer rubrum, Quercus rubra, Populus grandidentata",4.4
"Pinus resinosa, Pinus strobus, Acer rubrum",4.4
Pinus resinosa,2.5
"Acer saccharum, Betula papyrifera, Pinus strobus",5.1
"Acer saccharum, Quercus rubra, Betula papyrifera",5.9
"Quercus rubra, Acer saccharum, Acer rubrum",5.6
"Quercus rubra, Acer rubrum",5.5
"Acer saccharum, Acer rubrum, Tsuga canadensis",6.8
"Acer saccharum, Tilia americana",5.5
"Betula papyrifera, Acer saccharum, Populus tremuloides",5.9
"Acer saccharum, Betula alleghaniensis",6.3
"Acer saccharum, Tilia americana, Populus tremuloides",8
"Acer saccharum, Fraxinus spp., Quercus rubra",8.4
"Acer saccharum, Tilia americana, Fraxinus spp.",5.1
"Acer saccharum, Tilia americana",7.1
Metrosideros polymorpha,8
Metrosideros polymorpha,7.1
Metrosideros polymorpha,5.8
Metrosideros polymorpha,7.5
Metrosideros polymorpha,4.4
Metrosideros polymorpha,3
Pinus elliotti,5.99
Tsuga heterophylla,31
Tsuga heterophylla,47
"Pseudotsuga menziesii, Abies grandis",18
Pseudotsuga menziesii,15
"Pseudotsuga menziesii, Tsuga heterophylla, Abies amabilis",22
Tsuga mertensiana,10
Pinus ponderosa,7
Juniperus occidentalis,2
Artemisia tridentata,1
Pinus ponderosa,2.73
Pinus resinosa,6.47
Mixed hardwood forest,6.7
Mixed hardwood forest,6.8
Mixed hardwood forest,4.8
Mixed hardwood forest,5.6
Quercus rubra,4.5
Larix decidua,5.1
Pinus strobus,7.4
Pinus resinosa,6.2
Picea abies,10.2
"Picea sitchensis, Tsuga heterophylla",5.3
Alnus rubra,3.9
Pseudotsuga menziesii,4
"Tsuga mertensiana, Pseudotsuga menziesii",8.7
Tsuga mertensiana,2.8
Pinus ponderosa,1.1
Juniperus occidentalis,0.4
"Tsuga heterophylla, Pseudotsuga menziesii",8.3
Pseudotsuga menziesii,6.6
Pseudotsuga menziesii,8.2
Pseudotsuga menziesii,6.7
Pseudotsuga menziesii,6
Pseudotsuga menziesii,7.4
Pinus ponderosa,1.7
Pinus ponderosa,2.4
Pinus ponderosa,2.6
Pinus ponderosa,3.3
Pinus contorta,4
Picea engelmannii,4.1
Abies grandis,5.3
Pinus strobus,3
Pinus strobus,2.9
Pinus strobus,2.9
Pinus strobus,3.8
Pinus strobus,3.2
Populus tremuloides,3.3
Picea mariana,5.6
Pinus banksiana,2.8
Pinus banksiana,2.4
Populus tremuloides,2.2
Picea mariana,4.2
Pinus banksiana,1.8
Pinus banksiana,2.2
Picea abies,11.5
Fagus sylvatica,3.4
Pinus contorta,0
Pinus contorta,0.01
Pinus contorta,0.14
Pinus contorta,1.82
Pinus sylvestris,2.66
Pinus sylvestris,1.98
Fagus crenata,7.8
Fagus crenata,7.6
Fagus crenata,7.7
Fagus crenata,3.3
Fagus crenata,3.2
Fagus crenata,3.3
Fagus crenata,3.6
Fagus crenata,5.4
Fagus crenata,4.9
Fagus crenata,4.4
Fagus crenata,4.5
Fagus crenata,5.38
Fagus crenata,4.41
Fagus crenata,7.84
Fagus crenata,4.54
"Abies veitchii, Abies mariesii",8.2
"Abies veitchii, Abies mariesii",9.7
"Abies veitchii, Abies mariesii",8.1
"Abies veitchii, Abies mariesii",5.5
"Abies veitchii, Abies mariesii",10.6
"Abies veitchii, Abies mariesii",7.8
"Abies veitchii, Abies mariesii",12.8
"Abies veitchii, Abies mariesii",10.9
"Abies veitchii, Abies mariesii",7.7
Camellia japonica,6.42
Camellia japonica,5.42
Camellia japonica,4.05
Camellia japonica,5.65
"Quercus glauca, Quercus salicina, Camellia japonica",6.63
"Quercus glauca, Quercus salicina, Camellia japonica",5.52
"Quercus glauca, Quercus salicina, Camellia japonica",6.07
Cryptomeria japonica ,8.64
Cryptomeria japonica ,10
Chamaecyparis obtusa,6.3
Chamaecyparis obtusa,6.3
Chamaecyparis obtusa,7.1
Chamaecyparis obtusa,6.4
Chamaecyparis obtusa,5.4
Chamaecyparis obtusa,5.6
Chamaecyparis obtusa,5.9
Chamaecyparis obtusa,5.8
Chamaecyparis obtusa,6
Chamaecyparis obtusa,4.7
Chamaecyparis obtusa,5.9
Chamaecyparis obtusa,5.4
Chamaecyparis obtusa,6.6
Chamaecyparis obtusa,5.7
Chamaecyparis obtusa,6.2
Cryptomeria japonica ,13.5
Cryptomeria japonica ,11.8
Cryptomeria japonica ,10.7
Cryptomeria japonica,9.4
Cryptomeria japonica,12.1
Cryptomeria japonica,13
Cryptomeria japonica,14.7
Cryptomeria japonica,11.5
Cryptomeria japonica,10
Acacia mollissima,9.9
Castanopsis cuspidata ,8.86
Cryptomeria japonica,17.2
Abies lasiocarpa,14.7
"Abies concolor, Pseudotsuga menziesii",15.5
Pseudotsuga menziesii,16.7
Pseudotsuga menziesii,15.5
"Pinus ponderosa, Pinus strobiformis",7.6
Pinus ponderosa,5.9
Pinus ponderosa,4.7
"Pinus chihuahuana, Pinus ponderosa, Quercus hypoleucoides, Quercus arizonica",3.7
"Pinus cembroides, Juniperus deppeana",2
"Quercus oblongifolia, Quercus emoryi",1.76
"Fouquieria splendens, Prosopis juliflora et al.",1.58
"Carnegiea gigantea, Cercidium microphyllum, Fouquieria splendens",0.94
"Cercidium microphyllum, Franseria deltoidea, Fouquieria splendens",0.59
Larrea divaricata,0.6
Cercocarpus breviflorus,1.4
Populus tremuloides,6.4
Aesculus octandra,6.2
Tsuga canadensis,13.1
Fagus grandifolia,2.9
Quercus prinus,6.3
Quercus prinus,4.3
Pinus (heath),4.7
Pinus echinata,7.8
Picea rubens,14.8
Abies fraseri,12.3
Liriodendron tulipifera,7.4
"Quercus rubra, Quercus alba",3.5
Fagus grandifolia,14.8
"Deschampsia flexuosa, Leiophyllum lyoni",0.08
Leiophyllum lyoni,3.1
Rhododendron carolinianum,2
Rhododendron catawbiense,2.8
"Rhododendron catawbiense, Kalmia latifolia, Gaylyssacia baccata",1.97
"Rhododendron catawbiense, Kalmia latifolia",2.63
"Rhododendron catawbiense, Kalmia latifolia",4.52
"Rhododendron catawbiense, Kalmia latifolia",4.75
"Rhododendron catawbiense, Gaylyssacia baccata",6.08
"Fagus grandifolia, Acer saccharum, Betula lutea",5.5
"Acer saccharum, Betula lutea, Fagus grandifolia",5.7
"Fagus grandifolia, Acer saccharum, Betula lutea",6.2
Betula platyphylla,3.5
"Quercus crispula, Betula ermanii, Betula platyphylla, Abies sachalinensis, Picea jezoensis",7.8
"Picea glehnii, Betula platyphylla",3.4
"Quercus crispula, Betula platyphyla, Acer mono",5.1
Chamaecyparis obtusa,5.5
"Betula platyphylla, Quercus mongolica, Acer mono, Kalopanax pictus, Tilia japonica, Ulmus davidiana",4
Fagus crenata,3.96
Betula ermanii,5.2
"Betula ermanii, Quercus crispula",7.21
"Ilex pedunculosa, Symplocos prunifolia, Quercus serrata, Evodiopanax innovans",3.5
"Cinnamomum camphora, Machilus thunbergii, Quercus serrata, Castanopsis cuspidate, Ulmus parvifolia, Quercus glauca",4.8
Cryptomeria japonica,5.4
Cryptomeria japonica,5.7
Larix cajanderi,3.7
Pinus sylvestris,5
Larix sibirica,4.4
Larix gmelinii,2.5
Artemisia ordosica,0.3
Populus spp,1.96
"Cinnamomum randaiense, Cryptocarya chinesis, Persea zuihoenisis, Castanopsis hystrix, Gordonia axillaris 
",4.5
"Lithocarpus, Quercus, Castanopsis sp.",4.5
Tectona grandis,4
Hopea ferrea,6.3
Hevea brasiliensis,3.2
Populus trichocarpa,3.23
Pinus sylvestris,2.5
Pinus sylvestris,2.4
Pinus sylvestris,2.7
Pinus sylvestris,2
Fagus sylvatica,4.6
"Fagus sylvatica, Fraxinus excelsior",4.6
Fagus sylvatica,4
Pinus sylvestris,5.34
Picea abies,20.4
Pinus pinaster,2.7
Pinus pinaster,3
Pinus pinaster,3.3
Picea abies,12.44
Picea abies,7.42
Picea abies,4.49
Picea abies,5.44
Pinus sylvestris,1.36
Pinus sylvestris,1.57
Picea abies,2.64
Picea abies,2.21
Alnus glutinosa,4.8
Quercus petraea,5.97
Castanea sativa and others,5.14
Castanea sativa and others,7.45
Castanea sativa and others,5.81
Castanea sativa and others,6.4
Castanea sativa and others,2.88
Fagus sylvatica,2.46
Quercus petraea and others,5.86
Quercus petraea and others,4.67
Quercus petraea,1.71
Nothofagus solandri,6.7
Fagus sylvatica,5
"Pinus edulis, Juniperus monosperma",1.85
"Pinus edulis, Juniperus monosperma",1.72
"Micarandra sprucei, Manilkara sp.",4.47
"Micarandra sprucei, Manilkara sp.",9.46
"Micarandra sprucei, Eperua leucantha",5.87
"Micarandra sprucei, Eperua leucantha",5.45
"Micarandra sprucei, Eperua leucantha",3.07
"Micarandra sprucei, Manilkara sp., Eperua leucantha",5.58
"Micarandra sprucei, Eperua cunuri 3?",2.81
"Micarandra sprucei, Eperua zapatero?",9.78
"Micarandra sprucei, Glycoxylon inophyllum",3.9
Micarandra sprucei,4.72
"Micarandra sprucei, Eperua palo amarillo?",4.64
"Micarandra sprucei, Glycoxylon media luna?",3.23
Eperua molenillo,3.04
Tropical tree species,6
Tropical tree species,6.1
Tropical tree species,6.2
Tropical tree species,6.3
Tropical tree species,6.7
"Quercus spps, Acer rubrum, Liriodendron tulifpifera ",4.9
57 species mix,3.6
Pinus caribaea,2.5
Carapa guianensis,2.9
Euxylophora paraensis,2.1
"Leguminosae combination (Parkia multijuga, Dinizia excelsa, Dalbergia nigra)",3.7
"Salix spp., Betula nana etc.",0.53
"Salix spp., Betula nana etc.",0.84
"Salix glauca, Salix planifolia, Betula nana, Eriophorum angustifolium",2.09
Pseudotsuga menziesii,6
Pseudotsuga menziesii,8.1
Pseudotsuga menziesii,10.3
Pseudotsuga menziesii,7.3
Pseudotsuga menziesii,9.2
Pseudotsuga menziesii,10.4
Pseudotsuga menziesii,11.2
Pseudotsuga menziesii,9.3
Pseudotsuga menziesii,7.7
Pseudotsuga menziesii,7.4
Pseudotsuga menziesii,9.6
Pseudotsuga menziesii,18.1
Pseudotsuga menziesii,20.1
"Populus tremuloides, Populus grandidentata",2.25
"Populus tremuloides, Populus grandidentata",2.41
Picea abies,1.69
Picea abies,1.32
"Populus tremuloides, Populus grandidentata",3.32
"Populus tremuloides, Populus grandidentata",4.91
"Populus tremuloides, Populus grandidentata",3.04
"Populus tremuloides, Populus grandidentata",3.02
"Populus tremuloides, Populus grandidentata",3.35
"Populus tremuloides, Populus grandidentata",3.77
"Populus tremuloides, Populus grandidentata",4.18
"Populus tremuloides, Populus grandidentata",4.38
"Populus tremuloides, Populus grandidentata",4.38
"Populus tremuloides, Populus grandidentata",4.26
"Populus tremuloides, Populus grandidentata",4.26
Picea abies,3.27
Picea abies,2.69
Picea abies,2.88
"Populus tremuloides, Populus grandidentata",3.51
"Populus tremuloides, Populus grandidentata",2.73
Picea abies,2.6
"Populus tremuloides, Populus grandidentata",5.68
Picea abies,2.69
"Populus tremuloides, Populus grandidentata",3.04
Picea abies,3.67
Picea abies,3.48
"Populus tremuloides, Populus grandidentata",2.96
"Populus tremuloides, Populus grandidentata",3.43
"Populus tremuloides, Populus grandidentata",5.14
"Populus tremuloides, Populus grandidentata",3.06
"Populus tremuloides, Populus grandidentata",3.06
"Populus tremuloides, Populus grandidentata",3.69
Picea abies,0.84
Picea abies,0.71
Picea abies,0.52
"Populus tremuloides, Populus grandidentata",4.51
Picea abies,0.69
Picea abies,4.26
Picea abies,1.83
Picea abies,2.7
Picea abies,3.74
Picea abies,2
Picea abies,2.79
"Populus tremuloides, Populus grandidentata",3.35
"Populus tremuloides, Populus grandidentata",3.68
"Populus tremuloides, Populus grandidentata",3.89
"Populus tremuloides, Populus grandidentata",4.51
Picea abies,0.59
Picea abies,0.74
Picea abies,0.48
"Populus tremuloides, Populus grandidentata",2.75
Picea abies,2.45
Picea abies,4
Picea abies,5.42
Picea abies,3.09
"Populus tremuloides, Populus grandidentata",1.29
"Populus tremuloides, Populus grandidentata",3.64
"Populus tremuloides, Populus grandidentata",2.67
"Populus tremuloides, Populus grandidentata",3.05
Picea abies,3.73
Picea abies,3.09
Picea abies,2.44
Picea abies,3.03
Picea abies,2.84
Picea abies,2.28
Pinus resinosa,4.9
Pinus resinosa,6.2
Pinus banksiana,1.6
Pinus banksiana,2.2
Pinus banksiana,1.7
Pinus banksiana,1.5
Pinus banksiana,2
Betula verrucosa,6.2
Betula verrucosa,3.5
Betula verrucosa,4.1
Betula verrucosa,1.7
