Species,LAI Value
Pinus ponderosa,2.1
Pinus ponderosa,1.02
Pinus ponderosa,2.53
Pinus ponderosa,1.66
Pinus ponderosa,2.02
"Pinus ponderosa, Larix occidentalis, Abies grandis",3.22
"Pinus ponderosa, Larix occidentalis, Abies grandis",2.74
"Pinus ponderosa, Larix occidentalis, Pinus contorta, Pesudotsuga menziessii",1.95
"Pinus ponderosa, Larix occidentalis, Pinus contorta, Pesudotsuga menziessii",2.75
"Pinus ponderosa, Calocedrus decurrens",1.46
Picea abies,9.5
Picea abies,7.1
Picea abies,7.6
Picea abies,6.2
Picea abies,6.5
Picea abies,7.1
"Pseudotsuga menziesii, Tsuga heterophylla, Thuja plicata",7.2
"Pseudotsuga menziesii, Tsuga heterophylla, Thuja plicata",9.6
"Pseudotsuga menziesii, Tsuga heterophylla, Thuja plicata",9
"Pseudotsuga menziesii, Tsuga heterophylla, Thuja plicata",7.8
"Pseudotsuga menziesii, Tsuga heterophylla, Thuja plicata",9.2
"Pseudotsuga menziesii, Tsuga heterophylla, Thuja plicata",10.7
Puseudotsuga menziesii,8.05
Puseudotsuga menziesii,9.48
Puseudotsuga menziesii,8.9
Puseudotsuga menziesii,6.41
Puseudotsuga menziesii,7.17
Puseudotsuga menziesii,10.22
Puseudotsuga menziesii,11.06
Puseudotsuga menziesii,10.74
Puseudotsuga menziesii,7.22
Puseudotsuga menziesii,7.38
Puseudotsuga menziesii,7.79
Puseudotsuga menziesii,8.79
"Abies amabilis, Thuja plicata, Puseudotsuga menziesii",7.92
"Abies amabilis, Thuja plicata, Puseudotsuga menziesii",8.4
"Abies amabilis, Thuja plicata, Puseudotsuga menziesii",4.1
"Abies amabilis, Thuja plicata, Puseudotsuga menziesii",6.41
"Abies amabilis, Thuja plicata, Puseudotsuga menziesii",7.45
"Abies amabilis, Thuja plicata, Puseudotsuga menziesii",6.34
"Abies amabilis, Thuja plicata, Puseudotsuga menziesii",10.14
"Abies amabilis, Thuja plicata, Puseudotsuga menziesii",6.6
"Abies amabilis, Thuja plicata, Puseudotsuga menziesii",5.8
"Abies amabilis, Thuja plicata, Puseudotsuga menziesii",9.73
"Abies amabilis, Thuja plicata, Puseudotsuga menziesii",9.52
"Abies amabilis, Thuja plicata, Puseudotsuga menziesii",4.83
Pinus elliottii var. elliottii x Pinus caribaea var. hondurensis,9.3
Pinus elliottii var. elliottii x Pinus caribaea var. hondurensis,9.74
Pinus elliottii var. elliottii x Pinus caribaea var. hondurensis,9.77
Pinus elliottii var. elliottii x Pinus caribaea var. hondurensis,6.97
Pinus elliottii var. elliottii x Pinus caribaea var. hondurensis,6
Pinus elliottii var. elliottii x Pinus caribaea var. hondurensis,5.59
Pinus elliottii var. elliottii x Pinus caribaea var. hondurensis,4.46
Pinus elliottii var. elliottii x Pinus caribaea var. hondurensis,4.84
Pinus elliottii var. elliottii x Pinus caribaea var. hondurensis,5.53
Pinus elliottii var. elliottii x Pinus caribaea var. hondurensis,5.12
Eucalyptus delegatensis,1.5
"Eucalyptus delegatensis, Eucalyptus dalrympleana ",1.42
"Eucalyptus delegatensis, Eucalyptus dalrympleana ",1.72
"Eucalyptus delegatensis, Eucalyptus dalrympleana ",0.73
"Eucalyptus delegatensis, Eucalyptus dalrympleana ",1.2
"Eucalyptus pauciflora, Eucalyptus dalrympleana ",1.17
"Eucalyptus pauciflora, Eucalyptus dalrympleana ",1.4
"Eucalyptus radiata, Eucalyptus dalrympleana ",1.92
"Eucalyptus radiata, Eucalyptus mannifera",1.32
"Eucalyptus macrorhyncha, Eucalyptus albens ",0.92
"Eucalyptus macrorhyncha, Eucalyptus albens ",0.83
"Eucalyptus globulus, Eucalyptus radiata",1.39
"Eucalyptus globulus, Eucalyptus viminalis, Eucalyptus radiata",2.01
"Eucalyptus delegatensis, Eucalyptus dalrympleana ",1.07
Eucalyptus nitens,2.24
Eucalyptus nitens,7.43
Eucalyptus marginata,1.05
Pinus sylvestris,6.16
Pinus sylvestris,6.78
Pinus sylvestris,6.59
Pinus sylvestris,4.8
Pinus sylvestris,4.3
Pinus sylvestris,4.91
Pinus sylvestris,6.22
Pinus sylvestris,6.41
Pinus sylvestris,5.96
Pinus sylvestris,5.75
Pinus sylvestris,4.68
"Eucalyptus marginata, Eucalyptus calophylla",1.8
"Eucalyptus marginata, Eucalyptus calophylla",1.4
"Eucalyptus marginata, Eucalyptus calophylla",1.5
"Eucalyptus marginata, Eucalyptus calophylla",0.3
"Eucalyptus marginata, Eucalyptus calophylla",1.7
"Eucalyptus marginata, Eucalyptus calophylla",1.3
Eucalyptus diversicolor,1.3
Eucalyptus diversicolor,1.3
Eucalyptus socialis,0.45
Eucalyptus socialis,0.67
Eucalyptus dumosa,0.6
Eucalyptus dumosa,0.75
Eucalyptus dumosa,1.21
"Eucalyptus leucoxylon, E. occidentalis",0.8
"Eucalyptus baxteri, E. faciculosa, E. leucoxylon",1.07
Eucalyptus,2.07
Eucalyptus,2.05
Eucalyptus,2.09
Eucalyptus,1.47
Eucalyptus,4.09
Eucalyptus,4.4
Eucalyptus,1.89
Eucalyptus,1.68
Eucalyptus,2.03
Eucalyptus,2.59
Eucalyptus,0.01
Eucalyptus,0.34
Eucalyptus,2.98
Eucalyptus,0.49
Eucalyptus,0.86
Eucalyptus,1.99
Eucalyptus,0.71
Eucalyptus,0.59
Eucalyptus,0.36
Eucalyptus,0.13
Eucalyptus,0.1
Eucalyptus,0.46
Eucalyptus,0.17
Eucalyptus,1.86
Eucalyptus,2.46
Eucalyptus maculata,2.78
"Eucalyptus tetrodonta, E. miniata",2.1
"Eucalyptus umbonata, E. tetrodonta",1.25
"Eucalyptus terminalis, E. capricornia",0.25
"Brachystegia spiciformis, B. bakerana",2.15
"Schinzophyton rautanenii, Baikiaea plurijuga, Kirkia Africana, Pterocarpus angolensis",2.1
"Colophospermum mopane, Terminalia sericea",0.87
Colophospermum mopane,0.26
"Acacia mellifera,Terminalia sericea, Boscia albitrunca",1
"Acacia leuderitzii, Acacia mellifera, Grewia flava",0.71
Metrosideros polymorpha,0.61
