id,species,accepted_name,gbif_taxon_key,family,order,common_name,growth_form,landscape_category,leaf_phenology,native_region,native_koppen,lai_mean,lai_min,lai_max,lai_sd,lai_n,lai_method,lai_context,lai_measurement_koppen,pft,tier,tier_source,urban_context,sources,notes,entry_date,data_version,ai_assisted,ai_model
32,Cleistanthus paxii,,3081559,,,Cleistanthus,tree,Tree,evergreen,,"Af,Am,Aw",0.98,0.98,0.98,,1,PFT-inferred,inferred,,TrBE,1,Direct_Field,UNKNOWN,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009),2026-05-25,1.1.0,FALSE,
33,Dacryodes laxa,,3994075,,,Forest Canarium,tree,Tree,evergreen,,"Af,Am,Aw",0.96,0.96,0.96,,1,PFT-inferred,inferred,,TrBE,1,Direct_Field,UNKNOWN,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009),2026-05-25,1.1.0,FALSE,
34,Dacryodes rostrata,,3993735,,,Kedongdong Hutan,tree,Tree,evergreen,,"Af,Am,Aw",1.06,1.06,1.06,,1,PFT-inferred,inferred,,TrBE,1,Direct_Field,UNKNOWN,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009),2026-05-25,1.1.0,FALSE,
35,Dalbergia miscolobium,,2968927,,,Brazilian Rosewood,tree,Tree,drought-deciduous,,"Af,Am,Aw",2.52,2.52,2.52,,1,PFT-inferred,inferred,,TrBD,1,Direct_Field,UNKNOWN,Singapore field (Boon & Tan 2009),Singapore field measurement (Boon & Tan 2009),2026-05-25,1.1.0,FALSE,
36,Ficus benjamina,,5361932,,,Weeping Fig,tree,Tree,evergreen,,"Af,Am,Aw",4.2,3.2,5.2,,1,LAI-2000,urban,,TrBE,1,Direct_Urban_Field,TRUE,Tan & Sia (2009); panel.html,Tan & Sia 2009 guidebook; pending PDF verification,2026-05-25,1.1.0,FALSE,
37,Pterocarpus indicus,,5349242,,,Angsana,tree,Tree,drought-deciduous,,"Af,Am,Aw",4.5,3.5,5.5,,1,LAI-2000,urban,,TrBD,1,Direct_Urban_Field,TRUE,Tan & Sia (2009); panel.html,Tan & Sia 2009 guidebook; pending PDF verification,2026-05-25,1.1.0,FALSE,
38,Samanea saman,,2972960,,,Rain Tree,tree,Tree,evergreen,,"Af,Am,Aw",3.6,2.6,4.6,,1,LAI-2000,urban,,TrBE,1,Direct_Urban_Field,TRUE,Tan & Sia (2009); panel.html,Tan & Sia 2009 guidebook; pending PDF verification,2026-05-25,1.1.0,FALSE,
39,Swietenia mahagoni,,3190485,,,Mahogany,tree,Tree,evergreen,,"Af,Am,Aw",3.1,2.1,4.1,,1,LAI-2000,urban,,TrBE,1,Direct_Urban_Field,TRUE,Tan & Sia (2009); panel.html,Tan & Sia 2009 guidebook; pending PDF verification,2026-05-25,1.1.0,FALSE,
40,Terminalia catappa,,3189394,,,Sea Almond,tree,Tree,drought-deciduous,,"Af,Am,Aw",3.8,2.8,4.8,,1,LAI-2000,urban,,TrBD,1,Direct_Urban_Field,TRUE,Tan & Sia (2009); panel.html,Tan & Sia 2009 guidebook; pending PDF verification,2026-05-25,1.1.0,FALSE,
41,Dendrocalamus strictus,,2703316,,,,bamboo,Bamboo,evergreen,,"Cfb,Dfb,Dfc",5.08,5.08,5.08,,1,mixed,natural,,TeBD,2,ORNL_TRY_Measured,FALSE,"ORNL, TRY",Natural/plantation context. Urban LAI may be 30-60% lower.,2026-05-25,1.1.0,FALSE,
