id,species,accepted_name,gbif_taxon_key,family,order,common_name,growth_form,landscape_category,leaf_phenology,native_region,native_koppen,lai_mean,lai_min,lai_max,lai_sd,lai_n,lai_method,lai_context,lai_measurement_koppen,pft,tier,tier_source,urban_context,sources,notes,entry_date,data_version,ai_assisted,ai_model
22340,Yucca arizonica,,,,,,shrub,Shrub,evergreen,,"Cfa,Cwa,Cwb",4.0,2.0,6.5,,0,PFT-inferred,inferred,,SuBE,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Asparagaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Yucca GBIF accepted species. PFT: SuBE. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
22341,Yucca arkansana,,,,,,shrub,Shrub,evergreen,,"Cfa,Cwa,Cwb",4.0,2.0,6.5,,0,PFT-inferred,inferred,,SuBE,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Asparagaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Yucca GBIF accepted species. PFT: SuBE. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
22342,Yucca arnottiana,,,,,,shrub,Shrub,evergreen,,"Cfa,Cwa,Cwb",4.0,2.0,6.5,,0,PFT-inferred,inferred,,SuBE,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Asparagaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Yucca GBIF accepted species. PFT: SuBE. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
22343,Yucca atropos,,,,,,shrub,Shrub,evergreen,,"Cfa,Cwa,Cwb",4.0,2.0,6.5,,0,PFT-inferred,inferred,,SuBE,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Asparagaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Yucca GBIF accepted species. PFT: SuBE. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
22344,Yucca australis,,,,,,shrub,Shrub,evergreen,,"Cfa,Cwa,Cwb",4.0,2.0,6.5,,0,PFT-inferred,inferred,,SuBE,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Asparagaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Yucca GBIF accepted species. PFT: SuBE. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
22345,Yucca baccata,,,,,,shrub,Shrub,evergreen,,"Cfa,Cwa,Cwb",4.0,2.0,6.5,,0,PFT-inferred,inferred,,SuBE,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Asparagaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Yucca GBIF accepted species. PFT: SuBE. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
22346,Yucca baileyi,,,,,,shrub,Shrub,evergreen,,"Cfa,Cwa,Cwb",4.0,2.0,6.5,,0,PFT-inferred,inferred,,SuBE,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Asparagaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Yucca GBIF accepted species. PFT: SuBE. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
22347,Yucca brevifolia,,,,,,shrub,Shrub,evergreen,,"Cfa,Cwa,Cwb",4.0,2.0,6.5,,0,PFT-inferred,inferred,,SuBE,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Asparagaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Yucca GBIF accepted species. PFT: SuBE. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
22348,Yucca campestris,,,,,,shrub,Shrub,evergreen,,"Cfa,Cwa,Cwb",4.0,2.0,6.5,,0,PFT-inferred,inferred,,SuBE,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Asparagaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Yucca GBIF accepted species. PFT: SuBE. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
22349,Yucca capensis,,,,,,shrub,Shrub,evergreen,,"Cfa,Cwa,Cwb",4.0,2.0,6.5,,0,PFT-inferred,inferred,,SuBE,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Asparagaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Yucca GBIF accepted species. PFT: SuBE. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
22350,Yucca carnerosana,,,,,,shrub,Shrub,evergreen,,"Cfa,Cwa,Cwb",4.0,2.0,6.5,,0,PFT-inferred,inferred,,SuBE,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Asparagaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Yucca GBIF accepted species. PFT: SuBE. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
22351,Yucca cernua,,,,,,shrub,Shrub,evergreen,,"Cfa,Cwa,Cwb",4.0,2.0,6.5,,0,PFT-inferred,inferred,,SuBE,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Asparagaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Yucca GBIF accepted species. PFT: SuBE. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
22352,Yucca coahuilensis,,,,,,shrub,Shrub,evergreen,,"Cfa,Cwa,Cwb",4.0,2.0,6.5,,0,PFT-inferred,inferred,,SuBE,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Asparagaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Yucca GBIF accepted species. PFT: SuBE. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
22353,Yucca confinis,,,,,,shrub,Shrub,evergreen,,"Cfa,Cwa,Cwb",4.0,2.0,6.5,,0,PFT-inferred,inferred,,SuBE,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Asparagaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Yucca GBIF accepted species. PFT: SuBE. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
22354,Yucca constricta,,,,,,shrub,Shrub,evergreen,,"Cfa,Cwa,Cwb",4.0,2.0,6.5,,0,PFT-inferred,inferred,,SuBE,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Asparagaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Yucca GBIF accepted species. PFT: SuBE. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
22355,Yucca decipiens,,,,,,shrub,Shrub,evergreen,,"Cfa,Cwa,Cwb",4.0,2.0,6.5,,0,PFT-inferred,inferred,,SuBE,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Asparagaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Yucca GBIF accepted species. PFT: SuBE. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
22356,Yucca declinata,,,,,,shrub,Shrub,evergreen,,"Cfa,Cwa,Cwb",4.0,2.0,6.5,,0,PFT-inferred,inferred,,SuBE,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Asparagaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Yucca GBIF accepted species. PFT: SuBE. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
22357,Yucca desmetiana,,,,,,shrub,Shrub,evergreen,,"Cfa,Cwa,Cwb",4.0,2.0,6.5,,0,PFT-inferred,inferred,,SuBE,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Asparagaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Yucca GBIF accepted species. PFT: SuBE. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
22358,Yucca draco,,,,,,shrub,Shrub,evergreen,,"Cfa,Cwa,Cwb",4.0,2.0,6.5,,0,PFT-inferred,inferred,,SuBE,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Agavaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Yucca GBIF accepted species. PFT: SuBE. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
22359,Yucca elata,,,,,,shrub,Shrub,evergreen,,"Cfa,Cwa,Cwb",4.0,2.0,6.5,,0,PFT-inferred,inferred,,SuBE,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Asparagaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Yucca GBIF accepted species. PFT: SuBE. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
22360,Yucca elmensis,,,,,,shrub,Shrub,evergreen,,"Cfa,Cwa,Cwb",4.0,2.0,6.5,,0,PFT-inferred,inferred,,SuBE,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Asparagaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Yucca GBIF accepted species. PFT: SuBE. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
22361,Yucca endlichiana,,,,,,shrub,Shrub,evergreen,,"Cfa,Cwa,Cwb",4.0,2.0,6.5,,0,PFT-inferred,inferred,,SuBE,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Asparagaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Yucca GBIF accepted species. PFT: SuBE. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
22362,Yucca ensifolia,,,,,,shrub,Shrub,evergreen,,"Cfa,Cwa,Cwb",4.0,2.0,6.5,,0,PFT-inferred,inferred,,SuBE,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Agavaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Yucca GBIF accepted species. PFT: SuBE. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
22363,Yucca exigua,,,,,,shrub,Shrub,evergreen,,"Cfa,Cwa,Cwb",4.0,2.0,6.5,,0,PFT-inferred,inferred,,SuBE,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Agavaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Yucca GBIF accepted species. PFT: SuBE. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
22364,Yucca faxoniana,,,,,,shrub,Shrub,evergreen,,"Cfa,Cwa,Cwb",4.0,2.0,6.5,,0,PFT-inferred,inferred,,SuBE,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Asparagaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Yucca GBIF accepted species. PFT: SuBE. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
22365,Yucca feeanoukiae,,,,,,shrub,Shrub,evergreen,,"Cfa,Cwa,Cwb",4.0,2.0,6.5,,0,PFT-inferred,inferred,,SuBE,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Asparagaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Yucca GBIF accepted species. PFT: SuBE. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
22366,Yucca filamentosa,,,,,,shrub,Shrub,evergreen,,"Cfa,Cwa,Cwb",4.0,2.0,6.5,,0,PFT-inferred,inferred,,SuBE,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Asparagaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Yucca GBIF accepted species. PFT: SuBE. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
22367,Yucca filifera,,,,,,shrub,Shrub,evergreen,,"Cfa,Cwa,Cwb",4.0,2.0,6.5,,0,PFT-inferred,inferred,,SuBE,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Asparagaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Yucca GBIF accepted species. PFT: SuBE. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
22368,Yucca flaccida,,,,,,shrub,Shrub,evergreen,,"Cfa,Cwa,Cwb",4.0,2.0,6.5,,0,PFT-inferred,inferred,,SuBE,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: . PFT LAI: Bonan (2008) Science 320:1444",Genus Yucca GBIF accepted species. PFT: SuBE. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
22369,Yucca flexilis,,,,,,shrub,Shrub,evergreen,,"Cfa,Cwa,Cwb",4.0,2.0,6.5,,0,PFT-inferred,inferred,,SuBE,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Agavaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Yucca GBIF accepted species. PFT: SuBE. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
22370,Yucca gigantea,,,,,,shrub,Shrub,evergreen,,"Cfa,Cwa,Cwb",4.0,2.0,6.5,,0,PFT-inferred,inferred,,SuBE,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Asparagaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Yucca GBIF accepted species. PFT: SuBE. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
22371,Yucca glauca,,,,,,shrub,Shrub,evergreen,,"Cfa,Cwa,Cwb",4.0,2.0,6.5,,0,PFT-inferred,inferred,,SuBE,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Asparagaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Yucca GBIF accepted species. PFT: SuBE. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
22372,Yucca gloriosa,,,,,,shrub,Shrub,evergreen,,"Cfa,Cwa,Cwb",4.0,2.0,6.5,,0,PFT-inferred,inferred,,SuBE,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Asparagaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Yucca GBIF accepted species. PFT: SuBE. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
22373,Yucca graminifolia,,,,,,shrub,Shrub,evergreen,,"Cfa,Cwa,Cwb",4.0,2.0,6.5,,0,PFT-inferred,inferred,,SuBE,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Agavaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Yucca GBIF accepted species. PFT: SuBE. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
22374,Yucca grandiflora,,,,,,shrub,Shrub,evergreen,,"Cfa,Cwa,Cwb",4.0,2.0,6.5,,0,PFT-inferred,inferred,,SuBE,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Asparagaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Yucca GBIF accepted species. PFT: SuBE. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
22375,Yucca guatemalensis,,,,,,shrub,Shrub,evergreen,,"Cfa,Cwa,Cwb",4.0,2.0,6.5,,0,PFT-inferred,inferred,,SuBE,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Asparagaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Yucca GBIF accepted species. PFT: SuBE. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
22376,Yucca harrimaniae,,,,,,shrub,Shrub,evergreen,,"Cfa,Cwa,Cwb",4.0,2.0,6.5,,0,PFT-inferred,inferred,,SuBE,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Asparagaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Yucca GBIF accepted species. PFT: SuBE. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
22377,Yucca haruckeriana,,,,,,shrub,Shrub,evergreen,,"Cfa,Cwa,Cwb",4.0,2.0,6.5,,0,PFT-inferred,inferred,,SuBE,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Agavaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Yucca GBIF accepted species. PFT: SuBE. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
22378,Yucca imperator,,,,,,shrub,Shrub,evergreen,,"Cfa,Cwa,Cwb",4.0,2.0,6.5,,0,PFT-inferred,inferred,,SuBE,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Asparagaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Yucca GBIF accepted species. PFT: SuBE. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
22379,Yucca intermedia,,,,,,shrub,Shrub,evergreen,,"Cfa,Cwa,Cwb",4.0,2.0,6.5,,0,PFT-inferred,inferred,,SuBE,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Asparagaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Yucca GBIF accepted species. PFT: SuBE. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
22380,Yucca jaegeriana,,,,,,shrub,Shrub,evergreen,,"Cfa,Cwa,Cwb",4.0,2.0,6.5,,0,PFT-inferred,inferred,,SuBE,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Asparagaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Yucca GBIF accepted species. PFT: SuBE. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
22381,Yucca jaliscensis,,,,,,shrub,Shrub,evergreen,,"Cfa,Cwa,Cwb",4.0,2.0,6.5,,0,PFT-inferred,inferred,,SuBE,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Asparagaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Yucca GBIF accepted species. PFT: SuBE. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
22382,Yucca karlsruhensis,,,,,,shrub,Shrub,evergreen,,"Cfa,Cwa,Cwb",4.0,2.0,6.5,,0,PFT-inferred,inferred,,SuBE,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Agavaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Yucca GBIF accepted species. PFT: SuBE. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
22383,Yucca lacandonica,,,,,,shrub,Shrub,evergreen,,"Cfa,Cwa,Cwb",4.0,2.0,6.5,,0,PFT-inferred,inferred,,SuBE,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Asparagaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Yucca GBIF accepted species. PFT: SuBE. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
22384,Yucca laevigata,,,,,,shrub,Shrub,evergreen,,"Cfa,Cwa,Cwb",4.0,2.0,6.5,,0,PFT-inferred,inferred,,SuBE,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Asparagaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Yucca GBIF accepted species. PFT: SuBE. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
22385,Yucca linearifolia,,,,,,shrub,Shrub,evergreen,,"Cfa,Cwa,Cwb",4.0,2.0,6.5,,0,PFT-inferred,inferred,,SuBE,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Asparagaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Yucca GBIF accepted species. PFT: SuBE. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
22386,Yucca longifolia,,,,,,shrub,Shrub,evergreen,,"Cfa,Cwa,Cwb",4.0,2.0,6.5,,0,PFT-inferred,inferred,,SuBE,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Agavaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Yucca GBIF accepted species. PFT: SuBE. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
22387,Yucca louisianensis,,,,,,shrub,Shrub,evergreen,,"Cfa,Cwa,Cwb",4.0,2.0,6.5,,0,PFT-inferred,inferred,,SuBE,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Asparagaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Yucca GBIF accepted species. PFT: SuBE. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
22388,Yucca luminosa,,,,,,shrub,Shrub,evergreen,,"Cfa,Cwa,Cwb",4.0,2.0,6.5,,0,PFT-inferred,inferred,,SuBE,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: . PFT LAI: Bonan (2008) Science 320:1444",Genus Yucca GBIF accepted species. PFT: SuBE. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
22389,Yucca lutescens,,,,,,shrub,Shrub,evergreen,,"Cfa,Cwa,Cwb",4.0,2.0,6.5,,0,PFT-inferred,inferred,,SuBE,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Agavaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Yucca GBIF accepted species. PFT: SuBE. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
22390,Yucca madrensis,,,,,,shrub,Shrub,evergreen,,"Cfa,Cwa,Cwb",4.0,2.0,6.5,,0,PFT-inferred,inferred,,SuBE,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Asparagaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Yucca GBIF accepted species. PFT: SuBE. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
22391,Yucca mixtecana,,,,,,shrub,Shrub,evergreen,,"Cfa,Cwa,Cwb",4.0,2.0,6.5,,0,PFT-inferred,inferred,,SuBE,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Asparagaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Yucca GBIF accepted species. PFT: SuBE. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
22392,Yucca nana,,,,,,shrub,Shrub,evergreen,,"Cfa,Cwa,Cwb",4.0,2.0,6.5,,0,PFT-inferred,inferred,,SuBE,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Asparagaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Yucca GBIF accepted species. PFT: SuBE. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
22393,Yucca necopina,,,,,,shrub,Shrub,evergreen,,"Cfa,Cwa,Cwb",4.0,2.0,6.5,,0,PFT-inferred,inferred,,SuBE,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Asparagaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Yucca GBIF accepted species. PFT: SuBE. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
22394,Yucca nitida,,,,,,shrub,Shrub,evergreen,,"Cfa,Cwa,Cwb",4.0,2.0,6.5,,0,PFT-inferred,inferred,,SuBE,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Agavaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Yucca GBIF accepted species. PFT: SuBE. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
22395,Yucca pallida,,,,,,shrub,Shrub,evergreen,,"Cfa,Cwa,Cwb",4.0,2.0,6.5,,0,PFT-inferred,inferred,,SuBE,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Asparagaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Yucca GBIF accepted species. PFT: SuBE. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
22396,Yucca patens,,,,,,shrub,Shrub,evergreen,,"Cfa,Cwa,Cwb",4.0,2.0,6.5,,0,PFT-inferred,inferred,,SuBE,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Agavaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Yucca GBIF accepted species. PFT: SuBE. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
22397,Yucca periculosa,,,,,,shrub,Shrub,evergreen,,"Cfa,Cwa,Cwb",4.0,2.0,6.5,,0,PFT-inferred,inferred,,SuBE,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Asparagaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Yucca GBIF accepted species. PFT: SuBE. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
22398,Yucca pinicola,,,,,,shrub,Shrub,evergreen,,"Cfa,Cwa,Cwb",4.0,2.0,6.5,,0,PFT-inferred,inferred,,SuBE,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: ASPARAGACEAE. PFT LAI: Bonan (2008) Science 320:1444",Genus Yucca GBIF accepted species. PFT: SuBE. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
22399,Yucca polyphylla,,,,,,shrub,Shrub,evergreen,,"Cfa,Cwa,Cwb",4.0,2.0,6.5,,0,PFT-inferred,inferred,,SuBE,4,PFT_Mean_GBIF,UNKNOWN,"GBIF Backbone Taxonomy (gbif.org, doi:10.15468/39omei). Family: Agavaceae. PFT LAI: Bonan (2008) Science 320:1444",Genus Yucca GBIF accepted species. PFT: SuBE. Urban LAI may differ from natural conditions.,2026-05-25,1.1.0,False,
