id,species,common_name,mean_lai,median_lai,min_lai,max_lai,measurement_count,sources,tropical,category,canopy_form,height_mature_m,canopy_radius_mature_m,trunk_height_m,height_typical_m,canopy_radius_typical_m,min_substrate_mm,wikipedia_height_m,size_source
58,Quercus phillyraeoides,,5.82,5.82,5.74,5.9,4,"ORNL, TRY",FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
59,Elaeagnus umbellata,,5.8,5.8,5.8,5.8,2,"ORNL, TRY",FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
60,Nothofagus solandri,,5.781,5.71,3,8.9,20,"ORNL, TRY",FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
61,Prunus pensylvanica,,5.733,5.5,5.4,6.3,6,"ORNL, TRY",FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
62,Chamaecyparis obtusa,,5.705,5.735,3.8,7.1,56,"ORNL, TRY",FALSE,Tree,conical,20,4,3,13,2.6,1000,,category default
63,Castanea sativa and others,,5.536,5.81,2.88,7.45,10,"ORNL, TRY",FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
64,Liquidambar styraciflua,,5.5,5.5,5.5,5.5,2,"ORNL, TRY",FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
65,Quercus mongolica,,5.5,5.5,5.5,5.5,2,"ORNL, TRY",FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
66,Quercus serrata,,5.476,5.1,3.1,8.5,34,"ORNL, TRY",FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
67,Pinus resinosa,,5.469,5.75,2.5,10.7,24,"ORNL, TRY",FALSE,Tree,conical,20,4,3,13,2.6,1000,,category default
68,Betula ermanii,,5.403,5.46,5.2,5.55,6,"ORNL, TRY",FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
69,Quercus,,5.367,5.76,4.31,6.03,6,"ORNL, TRY",FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
70,Theobroma cacao,,5.367,5.7,4.1,6.3,6,"ORNL, TRY",FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
71,Alnus glutinosa,,5.342,5.365,2.07,8.26,12,"ORNL, TRY",FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
72,Pinus strobus,,5.307,3.2,1.5,17.8,30,"ORNL, TRY",FALSE,Tree,conical,20,4,3,13,2.6,1000,,category default
73,Magnolia obovata,,5.3,5.3,5.3,5.3,2,"ORNL, TRY",FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
74,Abies grandis,,5.3,5.3,5.3,5.3,2,"ORNL, TRY",FALSE,Tree,conical,20,4,3,13,2.6,1000,,category default
75,Tsuga sieboldii,,5.3,5.3,5.3,5.3,2,"ORNL, TRY",FALSE,Tree,conical,20,4,3,13,2.6,1000,,category default
76,Quercus petraea and others,,5.265,5.265,4.67,5.86,4,"ORNL, TRY",FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
77,Quercus acutissima,,5.254,5.1,2.9,7.1,26,"ORNL, TRY",FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
78,Alnus rubra,,5.2,5.2,3.9,6.5,4,"ORNL, TRY",FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
79,Quercus patraea,,5.2,5.2,5.2,5.2,2,"ORNL, TRY",FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
80,Fagus crenata,,5.059,4.7,3.19,7.84,96,"ORNL, TRY",FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
81,Abies veitchii,,5,5,5,5,2,"ORNL, TRY",FALSE,Tree,conical,20,4,3,13,2.6,1000,2150,category default
82,Quercus petraea,,4.992,5.575,1.71,6.5,24,"ORNL, TRY",FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
83,Cyrilla racemiflora,,4.96,4.96,4.96,4.96,2,"ORNL, TRY",FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
84,Abies religiosa,,4.96,4.96,4.96,4.96,2,"ORNL, TRY",FALSE,Tree,conical,20,4,3,13,2.6,1000,,category default
85,Castanea sativa,,4.874,5.3,3.29,6.5,10,"ORNL, TRY",FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
86,Tamarix chinensis,,4.85,4.85,4.85,4.85,2,"ORNL, TRY",FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
87,Quercus cerris,,4.837,4.5,3.8,7.4,14,"ORNL, TRY",FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
88,Fagus orientalis,,4.767,4.8,4.3,5.2,6,"ORNL, TRY",FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
89,Micarandra sprucei,,4.72,4.72,4.72,4.72,2,"ORNL, TRY",FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
90,Fraxinus excelsior,,4.69,4.55,3.6,5.4,10,"ORNL, TRY",FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
91,Pinus densiflora,,4.653,4.73,4.08,5.15,6,"ORNL, TRY",FALSE,Tree,conical,20,4,3,13,2.6,1000,,category default
92,Pinus,,4.65,4.65,2.01,7.29,4,"ORNL, TRY",FALSE,Tree,conical,20,4,3,13,2.6,1000,,category default
93,Metrosideros polymorpha,,4.614,5.465,0.61,8,24,"ORNL, TRY",FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
94,Picea glauca,,4.58,4.58,2.76,6.4,4,"ORNL, TRY",FALSE,Tree,conical,20,4,3,13,2.6,1000,,category default
95,Eucalyptus regnans,,4.566,4.345,3.11,9,28,"ORNL, TRY",TRUE,Tree,round,15,5,2,9.8,3.2,1000,,category default
96,Eucalyptus grandis*Eucalyptus urophylla hybrids,,4.487,4.29,3.54,5.83,8,"ORNL, TRY",TRUE,Tree,round,15,5,2,9.8,3.2,1000,,category default
97,Podocarpus nubigena,,4.45,4.45,4.2,4.7,2,TRY,FALSE,Tree,conical,20,4,3,13,2.6,1000,,category default
98,Larix sibirica,,4.4,4.4,4.4,4.4,2,"ORNL, TRY",FALSE,Tree,conical,20,4,3,13,2.6,1000,,category default
99,Betula verrucosa,,4.35,4.1,1.7,6.5,16,"ORNL, TRY",FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
100,Betula maximowixziana,,4.307,4.06,3.67,5.19,6,"ORNL, TRY",FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
101,Nothofagus pumila,,4.3,4.3,4.3,4.3,2,"ORNL, TRY",FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
102,Eucalyptus meullerana,,4.3,4.3,3.8,4.8,4,"ORNL, TRY",TRUE,Tree,round,15,5,2,9.8,3.2,1000,,category default
103,Hevea brasiliensis,,4.27,4.27,3.2,5.34,4,"ORNL, TRY",FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
104,Quercus robur,,4.24,4.55,2,6.33,24,"ORNL, TRY",FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
105,Pinus contorta,,4.196,2.8,0.01,35.7,178,"ORNL, TRY",FALSE,Tree,conical,20,4,3,13,2.6,1000,,category default
106,Eucalyptus nitens,,4.151,4.25,2.24,7.43,22,"ORNL, TRY",TRUE,Tree,round,15,5,2,9.8,3.2,1000,,category default
107,Quercus coccifera,,4.15,4.15,4.15,4.15,2,"ORNL, TRY",FALSE,Tree,round,15,5,2,9.8,3.2,1000,,category default
