id,species,common_name,mean_lai,median_lai,min_lai,max_lai,measurement_count,sources,tropical,category,canopy_form,height_mature_m,canopy_radius_mature_m,trunk_height_m,height_typical_m,canopy_radius_typical_m,min_substrate_mm,wikipedia_height_m,size_source
371,57 species mix,,3.6,3.6,3.6,3.6,1,ORNL,FALSE,Generic-Benchmark,round,15,5,2,9.8,3.2,1000,,category default
372,Shurb,,3.58,3.58,3.58,3.58,2,"ORNL, TRY",FALSE,Generic-Benchmark,round,15,5,2,9.8,3.2,1000,,category default
373,Eucalyptus spp.,,3.005,3.005,2,4.01,4,"ORNL, TRY",TRUE,Generic-Benchmark,round,15,5,2,9.8,3.2,1000,,category default
374,Betula spp.,,2.817,1.6,1.16,5.69,6,"ORNL, TRY",FALSE,Generic-Benchmark,round,15,5,2,9.8,3.2,1000,,category default
375,Savanna trees species,,2.805,2.805,2.76,2.85,4,"ORNL, TRY",FALSE,Generic-Benchmark,round,15,5,2,9.8,3.2,1000,,category default
376,Savanna trees and shrubs species,,2.32,2.32,2.32,2.32,2,"ORNL, TRY",FALSE,Generic-Benchmark,round,15,5,2,9.8,3.2,1000,,category default
377,Evergreen forest,,2.1,2.1,2.1,2.1,2,"ORNL, TRY",FALSE,Generic-Benchmark,round,15,5,2,9.8,3.2,1000,,category default
378,Dry sclerophyll forest species,,1.48,1.48,1.48,1.48,2,"ORNL, TRY",FALSE,Generic-Benchmark,round,15,5,2,9.8,3.2,1000,,category default
379,Salix spp.,,1.063,0.99,0.81,1.39,6,"ORNL, TRY",FALSE,Generic-Benchmark,spreading,12,7,2,7.8,4.5,1000,,category default
380,Larix spp.,,0.868,0.47,0.23,2.68,10,"ORNL, TRY",FALSE,Generic-Benchmark,conical,20,4,3,13,2.6,1000,,category default
381,Not described,,0.685,0.64,0.13,1.67,22,"ORNL, TRY",FALSE,Generic-Benchmark,round,15,5,2,9.8,3.2,1000,,category default
382,Ericaceous vegetation,,0.11,0.11,0.11,0.11,2,"ORNL, TRY",FALSE,Generic-Benchmark,round,15,5,2,9.8,3.2,1000,,category default
383,"Pseudotsuga menziesii, Tsuga heterophylla, Abies amabilis",,22,22,22,22,2,"ORNL, TRY",FALSE,Multi-Species,conical,20,4,3,13,2.6,1000,,category default
384,"Pseudotsuga menziesii, Abies grandis",,18,18,18,18,2,"ORNL, TRY",FALSE,Multi-Species,conical,20,4,3,13,2.6,1000,,category default
385,"Abies magnifica, Abies concolor",,16.015,16.015,15.58,16.45,4,"ORNL, TRY",FALSE,Multi-Species,conical,20,4,3,13,2.6,1000,,category default
386,"Abies concolor, Pseudotsuga menziesii",,15.5,15.5,15.5,15.5,2,"ORNL, TRY",FALSE,Multi-Species,conical,20,4,3,13,2.6,1000,,category default
387,"Padburggea pubescens, Eugenia clarkeana",,12.3,12.3,12.3,12.3,4,"ORNL, TRY",FALSE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
388,"Dipterocarpus alatus, Mangifera caloneura, Gymnosporia spp.",,12.1,12.1,12.1,12.1,2,"ORNL, TRY",TRUE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
389,"Abies grandis, Thuja plicata, Pseudotsuga menziesii",,11.68,11.68,11.68,11.68,2,"ORNL, TRY",FALSE,Multi-Species,conical,20,4,3,13,2.6,1000,,category default
390,"Tsuga heterophylla, Pseudotusga menziesii",,11.58,11.58,11.58,11.58,2,"ORNL, TRY",FALSE,Multi-Species,conical,20,4,3,13,2.6,1000,,category default
391,"Quercus phillyraeoides, Rapanaea neriifolia",,11.3,10.5,9.6,13.8,6,"ORNL, TRY",FALSE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
392,"Abies fabri, Picea brachytyla, Tsuga chinesis, Acer sp., Betula sp.",,10.31,10.31,10.31,10.31,2,"ORNL, TRY",FALSE,Multi-Species,conical,20,4,3,13,2.6,1000,,category default
393,"Abies fabri, Populus purdomii",,10.17,10.17,10.17,10.17,2,"ORNL, TRY",FALSE,Multi-Species,conical,20,4,3,13,2.6,1000,,category default
394,"Pseudotsuga menziesii, Pinus ponderosa",,9.93,9.93,9.93,9.93,2,"ORNL, TRY",FALSE,Multi-Species,conical,20,4,3,13,2.6,1000,,category default
395,"Micarandra sprucei, Eperua zapatero?",,9.78,9.78,9.78,9.78,2,"ORNL, TRY",FALSE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
396,"Abies veitchii, Abies mariesii",,9.033,8.2,5.5,12.8,18,"ORNL, TRY",FALSE,Multi-Species,conical,20,4,3,13,2.6,1000,,category default
397,"Pseudotsuga menziesii, Tsuga heterophylla, Thuja plicata",,8.917,9.1,7.2,10.7,12,"ORNL, TRY",FALSE,Multi-Species,conical,20,4,3,13,2.6,1000,,category default
398,"Larix occidentalis, Pinus monticola",,8.86,8.86,8.86,8.86,2,"ORNL, TRY",FALSE,Multi-Species,conical,20,4,3,13,2.6,1000,,category default
399,"Quercus acuta,  Shiia sieboldii, Quercus stenophylla, Distylium racemosum",,8.75,8.75,8.75,8.75,2,"ORNL, TRY",FALSE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
400,"Tsuga mertensiana, Pseudotsuga menziesii",,8.7,8.7,8.7,8.7,2,"ORNL, TRY",FALSE,Multi-Species,conical,20,4,3,13,2.6,1000,,category default
401,"Eperua falcata, Vouacapoua americana, Dicorynia guianensis, Carapa procera",,8.6,8.6,8.6,8.6,2,"ORNL, TRY",FALSE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
402,"Taxodium distichum, Fraxinus caroliniana",,8.5,8.5,8.5,8.5,2,"ORNL, TRY",FALSE,Multi-Species,conical,20,4,3,13,2.6,1000,,category default
403,"Quercus serrata, Carpinus tschonoskii",,8.34,8.34,8.34,8.34,2,"ORNL, TRY",FALSE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
404,"Tsuga heterophylla, Pseudotsuga menziesii",,8.3,8.3,8.3,8.3,2,"ORNL, TRY",FALSE,Multi-Species,conical,20,4,3,13,2.6,1000,,category default
405,"Quercus glauca, Quercus salicina, Quercus acuta, Camellia japonica",,8.2,8.2,7.5,8.9,6,"ORNL, TRY",FALSE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
406,"Liriodendron tulipifera, Quercus prinus, Quercus rubra, Quercus alba, Quercus velutina etc.",,8.062,7.7,5.4,10.7,16,"ORNL, TRY",FALSE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
407,"Acer saccharum, Tilia americana, Populus tremuloides",,8,8,8,8,2,"ORNL, TRY",FALSE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
408,"Pinus monticola, Larix occidentalis",,7.99,7.99,7.99,7.99,2,"ORNL, TRY",FALSE,Multi-Species,conical,20,4,3,13,2.6,1000,,category default
409,"Pseudotsuga menziesii, Pinus monticola",,7.97,7.97,7.97,7.97,2,"ORNL, TRY",FALSE,Multi-Species,conical,20,4,3,13,2.6,1000,,category default
410,"Quercus serrata, Ilex pedunculosa",,7.8,7.8,7.8,7.8,2,"ORNL, TRY",FALSE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
411,"Carpinus betulus, Fagus sylvatica, Quercus petraea, Tilia cordata",,7.8,7.8,7.8,7.8,2,"ORNL, TRY",FALSE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
412,"Quercus crispula, Betula ermanii, Betula platyphylla, Abies sachalinensis, Picea jezoensis",,7.8,7.8,7.8,7.8,2,"ORNL, TRY",FALSE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
413,"Quercus gilva, Castanopsis cuspidata",,7.773,8.11,6.93,8.28,6,"ORNL, TRY",FALSE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
414,"Clethra barbinervis, Prunus Verecunda, Cinnamomum camphora, Eurya japonica",,7.6,7.6,7.6,7.6,2,"ORNL, TRY",FALSE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
415,"Pinus ponderosa, Pinus strobiformis",,7.6,7.6,7.6,7.6,2,"ORNL, TRY",FALSE,Multi-Species,conical,20,4,3,13,2.6,1000,,category default
416,"Dacyodes excelsa, Sloanea beteriana, Manilkara bidentata et al.",,7.34,7.34,7.34,7.34,2,"ORNL, TRY",FALSE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
417,"Abies amabilis, Thuja plicata, Puseudotsuga menziesii",,7.32,7.45,4.1,10.14,13,"ORNL, TRY",FALSE,Multi-Species,conical,20,4,3,13,2.6,1000,,category default
418,"Trichilia tuberculata, Ceiba pentandra, Pseudobombax septenatum, Spondias mombin, Virola surinamensis, Anacardium excelsum",,7.25,7.25,7.25,7.25,2,"ORNL, TRY",FALSE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
419,"Betula ermanii, Quercus crispula",,7.21,7.21,7.21,7.21,2,"ORNL, TRY",FALSE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
420,"Quercus petraea, Quercus robur, Fagus sylvatica",,7.11,7.11,7.11,7.11,2,"ORNL, TRY",FALSE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
421,"Tilia cordata, Tilia platyphyllos, Fagus sylvatica",,7.1,7.1,7.1,7.1,2,"ORNL, TRY",FALSE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
422,"Dacrydium sp., Tristania sp., et al.",,7.1,7.1,7.1,7.1,2,"ORNL, TRY",FALSE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
423,"Liriodendron tulipifera, Fagus grandifolia, Carya tomentosa",,7,7,7,7,2,"ORNL, TRY",FALSE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
424,"Dialium species, Aucoumea klaineana",,7,7,7,7,2,"ORNL, TRY",FALSE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
425,"Micarandra sprucei, Manilkara sp.",,6.965,6.965,4.47,9.46,4,"ORNL, TRY",FALSE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
426,"Quercus rubra, Carya spp.",,6.9,6.9,6.9,6.9,2,"ORNL, TRY",FALSE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
427,"Quercus glauca, Cinnamomum sp., Buddleja sp. et al,",,6.88,6.88,6.88,6.88,2,"ORNL, TRY",FALSE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
428,"Fagus sylvatica, Quercus",,6.86,6.86,6.86,6.86,2,"ORNL, TRY",FALSE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
429,"Acer saccharum, Acer rubrum, Tsuga canadensis",,6.8,6.8,6.8,6.8,2,"ORNL, TRY",FALSE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
430,"Quercus robur, Carpinus betulus, Fagus sylvatica",,6.8,6.8,6.8,6.8,2,"ORNL, TRY",FALSE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
431,"Pinus densata, Quercus semicarpiforlia",,6.71,6.71,6.71,6.71,4,"ORNL, TRY",FALSE,Multi-Species,conical,20,4,3,13,2.6,1000,,category default
432,"Quercus Prinus, Quercus velutina",,6.467,6,6,7.4,6,"ORNL, TRY",FALSE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
433,"Acer rubrum, Cornus florida, Ilex opaca, Liquidambar styraciflua, Liriodendron tulipifera etc.",,6.35,6.35,5.6,7.1,4,"ORNL, TRY",FALSE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
434,"Camellia japonica, Machilus thunbergii",,6.3,6.3,6.3,6.3,2,"ORNL, TRY",FALSE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
435,"Acer saccharum, Tilia americana",,6.3,6.3,5.5,7.1,4,"ORNL, TRY",FALSE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
436,"Pinus, Fagus sylvatica",,6.27,6.27,6.27,6.27,2,"ORNL, TRY",FALSE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
437,"Phoebe chinesis, Lithocarpus cleistocarpus, Acer sp., Populus purdomii",,6.23,6.23,6.23,6.23,2,"ORNL, TRY",FALSE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
438,"Shorea macroptera, Shorea beccariana, Shorea acuta, Dipterocarpus glabosus, Dryobalanops aromatica",,6.2,6.2,6.2,6.2,2,"ORNL, TRY",TRUE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
439,"Quercus alba, Quercus rubra, Quercus marilandica",,6.136,6.1,4.5,7.4,22,"ORNL, TRY",FALSE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
440,"Quercus petraea, Quercus robur",,6.113,6.61,3.81,7.05,22,"ORNL, TRY",FALSE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
441,"Picea abies, Fagus sylvatica",,6.1,6,5.7,6.6,6,"ORNL, TRY",FALSE,Multi-Species,conical,20,4,3,13,2.6,1000,,category default
442,"Rhododendron catawbiense, Gaylyssacia baccata",,6.08,6.08,6.08,6.08,2,"ORNL, TRY",FALSE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
443,"Quercus glauca, Quercus salicina, Camellia japonica",,6.073,6.07,5.52,6.63,6,"ORNL, TRY",FALSE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
444,"Pentaclethra macroloba, Palms, other trees, Lianas",,6,6,6,6,2,"ORNL, TRY",TRUE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
445,"Quercus sp., Carya sp., Acer sp.",,6,6,6,6,2,"ORNL, TRY",FALSE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
446,"Pometia tomentosa,Terminalia myriocarpa, Barringtonia macrostachya",,6,6,6,6,2,"ORNL, TRY",TRUE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
447,"Thuja plicata, Pseudotsuga menziesii, Tsuga heterophylla",,5.957,5.5,1.5,11.4,56,"ORNL, TRY",FALSE,Multi-Species,conical,20,4,3,13,2.6,1000,,category default
448,"Fagus grandifolia, Acer saccharum, Betula alleghaniensis",,5.95,5.95,5.95,5.95,2,"ORNL, TRY",FALSE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
449,"Acer saccharum, Quercus rubra, Betula papyrifera",,5.9,5.9,5.9,5.9,2,"ORNL, TRY",FALSE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
450,"Betula papyrifera, Acer saccharum, Populus tremuloides",,5.9,5.9,5.9,5.9,2,"ORNL, TRY",FALSE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
451,"Acer rubrum, Quercus Prinus",,5.85,5.85,4.5,7.2,4,"ORNL, TRY",FALSE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
452,"Fagus grandifolia, Acer saccharum, Betula lutea",,5.85,5.85,5.5,6.2,4,"ORNL, TRY",FALSE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
453,"Meliaceae, Lauraceae, Sapotaceae, Fagaceae (63 species)",,5.733,6,4.3,6.5,12,"ORNL, TRY",FALSE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
454,"Fagus crenata, Carpinus laxiflora, Acer sieboldianum etc.",,5.723,5.78,4.82,6.51,8,"ORNL, TRY",FALSE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
455,"Dipterocarpus obtusifolius, Lagerstroemia calyculata et al.",,5.7,5.7,5.7,5.7,2,"ORNL, TRY",TRUE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
456,"Carpinus orientalis, Quercus pubescentis",,5.7,5.7,5.7,5.7,2,"ORNL, TRY",FALSE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
457,"Acer saccharum, Betula lutea, Fagus grandifolia",,5.7,5.7,5.7,5.7,2,"ORNL, TRY",FALSE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
458,"Cyrilla racemiflora, Clethra occidentalis, Podocarpus urbanii Pilger, Hedyosmum arborescen",,5.7,5.7,5.7,5.7,2,"ORNL, TRY",FALSE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
459,"Fagus sylvatica, Quercus robur, Ilex aquifolium",,5.7,5.7,5.7,5.7,2,"ORNL, TRY",FALSE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
460,"Picea engelmannii, Abies lasiocarpa",,5.683,5.145,4.34,8.75,12,"ORNL, TRY",FALSE,Multi-Species,conical,20,4,3,13,2.6,1000,,category default
461,"Combretocarpus rotundatus, Cratoxylum arborescens, Buchanania sessifolia, Tetramerista glabra",,5.6,5.6,5.6,5.6,2,"ORNL, TRY",FALSE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
462,"Quercus sp., Carya sp.",,5.6,5.6,5.6,5.6,2,"ORNL, TRY",FALSE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
463,"Quercus rubra, Acer saccharum, Acer rubrum",,5.6,5.6,5.6,5.6,2,"ORNL, TRY",FALSE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
464,"Quercus sp., Machilus edulis, Cinnamomum sp. et al.",,5.6,5.6,5.6,5.6,2,"ORNL, TRY",FALSE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
465,"Micarandra sprucei, Manilkara sp., Eperua leucantha",,5.58,5.58,5.58,5.58,2,"ORNL, TRY",FALSE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
466,"Elateriospermum tapos, Anisoptera laevis, Parashorea lucida, Shorea retinoides",,5.5,5.5,5.5,5.5,2,"ORNL, TRY",TRUE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
467,"Quercus robur, Fagus sylvatica",,5.5,5.5,5.5,5.5,2,"ORNL, TRY",FALSE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
468,"Quercus rubra, Acer rubrum",,5.5,5.5,5.5,5.5,2,"ORNL, TRY",FALSE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
469,"Populus tremuloides, Betula papyrifera, Acer rubrum. Acer saccharum",,5.5,5.5,5.5,5.5,2,"ORNL, TRY",FALSE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
470,"Cyrilla racemiflora, Lyonia octandra, Chaetocarpus globosus",,5.5,5.5,5.5,5.5,2,"ORNL, TRY",FALSE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
471,"Sapotaceae, Fabaceae, Violaceae, Chrysobalanacae spp. (over 100 species)",,5.45,5.45,5.39,5.51,4,"ORNL, TRY",FALSE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
472,"Shorea conica, Shorea gibbosa",,5.4,5.4,5.4,5.4,2,"ORNL, TRY",TRUE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
473,"Picea mariana, Pinus banksiana",,5.4,5.4,5.3,5.5,4,"ORNL, TRY",TRUE,Multi-Species,conical,20,4,3,13,2.6,1000,,category default
474,"Larix occidentalis, Pinus ponderosa",,5.4,5.4,5.4,5.4,2,"ORNL, TRY",FALSE,Multi-Species,conical,20,4,3,13,2.6,1000,,category default
475,"Thouinidium decandrum, Guapira macrocarpa, Astronium graveolens, Trichilia trifolia, Casearia corymbosa",,5.4,5.4,5.4,5.4,2,"ORNL, TRY",FALSE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
476,"Quercus robur, Acer pseudoplatanus",,5.3,5.3,5.3,5.3,2,"ORNL, TRY",FALSE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
477,"Picea sitchensis, Tsuga heterophylla",,5.3,5.3,5.3,5.3,2,"ORNL, TRY",FALSE,Multi-Species,conical,20,4,3,13,2.6,1000,,category default
478,"Vaccinium myrtillus, Vaccinium uliginosum",,5.3,5.3,5.3,5.3,2,"ORNL, TRY",FALSE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
479,"Quercus robur, Ilex aquifolium",,5.3,5.3,5.3,5.3,2,"ORNL, TRY",FALSE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
480,"Pinus ponderosa, Pseudotsuga menziesii",,5.25,5.25,5.25,5.25,2,"ORNL, TRY",FALSE,Multi-Species,conical,20,4,3,13,2.6,1000,,category default
481,"Fagus sylvatica, Fraxinus",,5.21,5.21,5,5.42,4,"ORNL, TRY",FALSE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
482,"Acer rubrum, Carya spp.",,5.2,5.2,5.2,5.2,2,"ORNL, TRY",FALSE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
483,"Quercus Prinus, Liriodendron tulipifera",,5.2,5.2,5.2,5.2,2,"ORNL, TRY",FALSE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
484,"Shorea macroptera, Shorea lumutensis, Shorea acuminata",,5.2,5.2,5.2,5.2,2,"ORNL, TRY",TRUE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
485,"Quercus Prinus, Acer rubrum",,5.167,5.4,4.7,5.4,6,"ORNL, TRY",FALSE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
486,"Quercus petraea, Fagus sylvatica",,5.13,4.8,4.49,6.1,6,"ORNL, TRY",FALSE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
487,"Fraxinus excelsior, Acer pseudoplatanus, Tilia platyphyllos, Tilia cordata, Fagus sylvatica, Quercus robur (total 11 species)",,5.1,5.1,5.1,5.1,2,"ORNL, TRY",FALSE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
488,"Acer saccharum, Betula papyrifera, Pinus strobus",,5.1,5.1,5.1,5.1,2,"ORNL, TRY",FALSE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
489,"Acer saccharum, Tilia americana, Fraxinus spp.",,5.1,5.1,5.1,5.1,2,"ORNL, TRY",FALSE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
490,"Quercus crispula, Betula platyphyla, Acer mono",,5.1,5.1,5.1,5.1,2,"ORNL, TRY",FALSE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
491,"Couratari guianensis, Eschweilera sp., Manilkara huberi, Carapa guianensis, Sclerolobium paniculatum, Pouteria sp., Protium decandro, Licaria guianensis",,5.07,5.07,5.07,5.07,2,"ORNL, TRY",FALSE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
492,"Alnus glutinosa, Fraxinus exelsior",,5.03,5.03,5.03,5.03,2,"ORNL, TRY",FALSE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
493,"Protium sagotianum Marchland, Dialium guianense, Hevea brasiliensis, Brosimum lactescens, Cordia alliodora, Tovomita schomburgkii, Qualea paraensis",,5,5,5,5,2,"ORNL, TRY",FALSE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
494,"Meliaceae, Lauraceae, Sapotaceae, Fagaceae (53 species)",,5,4.9,4.9,5.2,6,"ORNL, TRY",FALSE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
495,"Palaquium oxleyanum, Koompassia malaccensis, Parashorea lucida",,5,5,5,5,2,"ORNL, TRY",TRUE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
496,"Quercus ilex, Arbutus unedo, Phyllirea media",,5,5.1,4.6,5.3,6,"ORNL, TRY",FALSE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
497,"Quercus alba, Carya tomentosa",,5,5,5,5,2,"ORNL, TRY",FALSE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
498,"Fagus sylvatica, Fraximum excelsior",,5,5,5,5,2,"ORNL, TRY",FALSE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
499,"Pinus koriaensis,Tilia amurensis, Quercus mongolica, Fraxinus mandshurica, Acer mino",,5,5,5,5,2,"ORNL, TRY",FALSE,Multi-Species,conical,20,4,3,13,2.6,1000,,category default
500,"Quercus rubra, Quercus alba, Quercus velutina",,5,5,5,5,2,"ORNL, TRY",FALSE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
501,"Amaioua guianensis, Ocotea acutangula, Aspidosperma excelsum etc.",,5,5,5,5,2,"ORNL, TRY",FALSE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
502,"Quercus rubra, Pinus resinosa, Acer rubrum",,5,5,5,5,2,"ORNL, TRY",FALSE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
503,"Eucalyptus maculata, Ecucalyptus paniculata, Eucalyptus globoidea, Eucalyptus pilularis, Eucalyptus sieberi",,4.95,4.95,4.95,4.95,2,"ORNL, TRY",TRUE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
504,"Acer saccharum, Liriodendron tulipifera, Quercus spp.",,4.9,4.9,4.9,4.9,2,"ORNL, TRY",FALSE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
505,"Quercus spps, Acer rubrum, Liriodendron tulifpifera",,4.9,4.9,4.9,4.9,2,"ORNL, TRY",FALSE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
506,"Populus tremuloides, Betula papyrifera, Acer rubrum",,4.9,4.9,4.9,4.9,2,"ORNL, TRY",FALSE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
507,"Quercus robur, Fagus sylvatica, Ilex aquifolium",,4.9,4.9,4.9,4.9,2,"ORNL, TRY",FALSE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
508,"Dacrycarpus cinctus, Podocarpus archboldii et al. (119 tree species)",,4.88,4.88,4.88,4.88,2,"ORNL, TRY",FALSE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
509,"Cinnamomum camphora, Machilus thunbergii, Quercus serrata, Castanopsis cuspidate, Ulmus parvifolia, Quercus glauca",,4.8,4.8,4.8,4.8,2,"ORNL, TRY",FALSE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
510,"Quercus stellata, Quercus marilandica",,4.8,4.8,4.8,4.8,2,"ORNL, TRY",FALSE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
511,"Micarandra sprucei, Eperua leucantha",,4.797,5.45,3.07,5.87,6,"ORNL, TRY",FALSE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
512,"Miconia, Tapiria",,4.79,4.79,4.79,4.79,2,"ORNL, TRY",FALSE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
513,"Carya tomentosa, Liriodendron tulipifera",,4.7,4.7,4.7,4.7,2,"ORNL, TRY",FALSE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
514,"Micarandra sprucei, Eperua palo amarillo?",,4.64,4.64,4.64,4.64,2,"ORNL, TRY",FALSE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
515,"Quercus ruber, Fraxinus excelsior, Tilia sp., Acer sp., et al.",,4.6,4.6,4.6,4.6,2,"ORNL, TRY",FALSE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
516,"Fagus sylvatica, Fraxinus excelsior",,4.6,4.6,4.6,4.6,2,"ORNL, TRY",FALSE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
517,"Quercus robur, Quercus petraea",,4.6,4.6,4.6,4.6,2,"ORNL, TRY",FALSE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
518,"Sabina saltuaria, Rhododendron",,4.54,4.54,4.54,4.54,2,"ORNL, TRY",FALSE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
519,"Cinnamomum randaiense, Cryptocarya chinesis, Persea zuihoenisis, Castanopsis hystrix, Gordonia axillaris",,4.5,4.5,4.5,4.5,2,"ORNL, TRY",FALSE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
520,"Lithocarpus, Quercus, Castanopsis sp.",,4.5,4.5,4.5,4.5,2,"ORNL, TRY",FALSE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
521,"Bruguiera gymnorrhiza, Bruguiera sexangula, Kandelia obovata, R. stylosa",,4.48,4.48,4.48,4.48,2,"ORNL, TRY",FALSE,Multi-Species,round,15,5,2,9.8,3.2,1000,,category default
